order,b,a
Decapoda,3.626,0.0147
Amphipoda,3.015,0.0058
Coleoptera,2.91,0.0077
Trichoptera,2.839,0.0056
Megaloptera,2.838,0.0037
Ephemeroptera,2.832,0.0071
Odonata,2.792,0.0078
Plecoptera,2.754,0.0094
Hemiptera,2.734,0.0108
Diptera,2.692,0.0025
all insects,2.788,0.0064
